V1,V2,V3
0,66,-3028.86157226562
0.168539325842697,66,-3041.51147460938
0.337078651685393,66,-3026.87866210938
0.50561797752809,66,-3038.36865234375
0.674157303370786,66,-3013.638671875
0.842696629213483,66,-2961.10864257812
1.01123595505618,66,-2997.9384765625
1.17977528089888,66,-2986.6884765625
1.34831460674157,66,-2987.18579101562
1.51685393258427,66,-2971.73583984375
1.68539325842697,66,-2384.56591796875
1.85393258426966,66,-2081.67578125
2.02247191011236,66,-1966.28588867188
2.19101123595506,66,-1875.11584472656
2.35955056179775,66,-1686.63757324219
2.52808988764045,66,-1586.63757324219
2.69662921348315,66,-1504.56750488281
2.86516853932584,66,-1451.60754394531
3.03370786516854,66,-1400.25756835938
3.20224719101124,66,-1396.62756347656
3.37078651685393,66,-1392.7275390625
3.53932584269663,66,-1378.57763671875
3.70786516853933,66,-1370.42761230469
3.87640449438202,66,-1363.62756347656
4.04494382022472,66,-1352.06762695312
4.21348314606742,66,-1328.08764648438
4.38202247191011,66,-1231.95764160156
4.55056179775281,66,-1154.0849609375
4.71910112359551,66,-1106.8349609375
4.8876404494382,66,-1038.5849609375
5.0561797752809,66,-893.034912109375
5.2247191011236,66,-821.774963378906
5.39325842696629,66,-760.424926757812
5.56179775280899,66,-706.934936523438
5.73033707865169,66,-618.205017089844
5.89887640449438,66,-555.315002441406
6.06741573033708,66,-467.795013427734
6.23595505617978,66,-372.355010986328
6.40449438202247,66,-324.964996337891
6.57303370786517,66,-356.595001220703
6.74157303370786,66,-369.864410400391
6.91011235955056,66,-373.064422607422
7.07865168539326,66,-385.104431152344
7.24719101123596,66,-393.574432373047
7.41573033707865,66,-389.344421386719
7.58426966292135,66,-386.404418945312
7.75280898876404,66,-371.564636230469
7.92134831460674,66,-383.294647216797
8.08988764044944,66,-394.994659423828
8.25842696629213,66,-405.674652099609
8.42696629213483,66,-401.614654541016
8.59550561797753,66,-384.804656982422
8.76404494382022,66,-366.5146484375
8.93258426966292,66,-334.730621337891
9.10112359550562,66,-293.710632324219
9.26966292134831,66,-284.260620117188
9.43820224719101,66,-291.880615234375
9.60674157303371,66,-296.920623779297
9.7752808988764,66,-293.960632324219
9.9438202247191,66,-304.675750732422
10.1123595505618,66,-318.625762939453
10.2808988764045,66,-331.315765380859
10.4494382022472,66,-336.595764160156
10.6179775280899,66,-320.1357421875
10.7865168539326,66,-301.735748291016
10.9550561797753,66,-283.115753173828
11.123595505618,66,-257.552917480469
11.2921348314607,66,-248.91291809082
11.4606741573034,66,-212.352905273438
11.6292134831461,66,-220.072906494141
11.7977528089888,66,-107.922912597656
11.9662921348315,66,-88.4129104614258
12.1348314606742,66,-69.6365432739258
12.3033707865169,66,-19.8765468597412
12.4719101123596,66,17.4934539794922
12.6404494382022,66,159.593460083008
12.8089887640449,66,181.473449707031
12.9775280898876,66,181.573455810547
13.1460674157303,66,165.35285949707
13.314606741573,66,221.442855834961
13.4831460674157,66,151.85285949707
13.6516853932584,66,674.792846679688
13.8202247191011,66,368.352874755859
13.9887640449438,66,569.752868652344
14.1573033707865,66,779.19287109375
14.3258426966292,66,861.944458007812
14.4943820224719,66,658.404418945312
14.6629213483146,66,845.304443359375
14.8314606741573,66,915.904418945312
15,66,1050.24438476562
